OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-32122,2024-132H,2025-10-07T19:31:42.000038,15.30210106,0.0001259,53.1604,42.555,84.9986,287.3314,0,C,60285,280,1,-0.00078508,-0.0002329,0,0.406,SpaceX-E
STARLINK-31656,2024-132J,2025-10-07T19:30:41.999990,15.30153997,0.0001301,53.1604,42.3128,86.3356,50.0869,0,C,60286,280,1,0.0013758,0.00040823,0,0.275,SpaceX-E
STARLINK-32114,2024-132K,2025-10-07T19:31:42.000038,15.30198912,0.000122,53.1589,42.8384,90.0017,136.9217,0,C,60287,280,1,-0.00045878,-0.0001361,0,0.408,SpaceX-E
STARLINK-31997,2024-132L,2025-10-07T19:24:41.999962,15.3022433,0.0001266,53.1591,42.2195,83.4587,82.3807,0,C,60288,280,1,-0.0011786,-0.00034967,0,0.507,SpaceX-E
STARLINK-32000,2024-132M,2025-10-07T19:28:41.999981,15.30189091,0.0001351,53.1596,42.6678,90.4292,218.0705,0,C,60289,280,1,-0.00011173,-3.3145e-05,0,0.337,SpaceX-E
STARLINK-32141,2024-132N,2025-10-07T19:30:41.999990,15.3018898,0.0001283,53.1608,42.4878,92.7205,310.7032,0,C,60290,280,1,-0.00030101,-8.9278e-05,0,0.378,SpaceX-E
STARLINK-32142,2024-132P,2025-10-07T19:26:41.999971,15.3020486,0.0001353,53.1596,42.2702,87.5031,56.9241,0,C,60291,280,1,-0.00066583,-0.00019752,0,0.413,SpaceX-E
STARLINK-32149,2024-132Q,2025-10-07T19:29:42.000029,15.30243299,0.0001147,53.1595,42.6991,93.5113,201.3607,0,C,60292,280,1,-0.0018247,-0.00054134,0,0.623,SpaceX-E
STARLINK-32159,2024-132R,2025-10-07T19:23:42.000000,15.30190911,0.0001234,53.1592,42.2561,94.2495,50.3213,0,C,60293,280,1,-9.1218e-05,-2.7062e-05,0,0.354,SpaceX-E
STARLINK-32150,2024-132S,2025-10-07T19:24:41.999962,15.30201667,0.0001123,53.1592,42.7493,87.318,170.9572,0,C,60294,280,1,-0.00037432,-0.00011106,0,0.393,SpaceX-E
STARLINK-32126,2024-132T,2025-10-07T19:23:42.000000,15.30204933,0.0001275,53.1588,42.8865,88.3992,96.2543,0,C,60295,280,1,-0.00047134,-0.00013985,0,0.389,SpaceX-E
STARLINK-32143,2024-132U,2025-10-07T19:25:42.000010,15.30198378,0.0001289,53.1591,42.7807,85.9161,158.7422,0,C,60296,280,1,-0.00030083,-8.9251e-05,0,0.379,SpaceX-E
